X,Y,FID,Name_of_Sc,Level_,Status,SchSponsor,Type1,Type2,Type3,PupilTeach,ClassrmRat,ToiletRati,No_Classrm,BoysToilet,GirlsToilet,TeachersTo,TotalToile,TotalBoys,TotalGirls,TotalEnrol,GO_KTSC_M,GOK_TSC_F,authorityM,authorityF,PTA_BOG_M,PTA_BOG_F,OthersM,OthersF,NoTeaching,NonTeachin,Province,District,Division,Location,Costituenc,Latitude,Longitude
34.12,0.37,15682,MUNONGO PRI,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,61,73.2,61,10,8,4,2,0,0,0,732,11,0,0,0,0,1,0,0,2,0,WESTERN,BUSIA,MATAYOS,BUKHAYO WEST,NAMBALE,0.37,34.12
34.6,0.13,15683,ESHIBINGA PRI,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,41,33.3,26.7,16,10,10,4,0,0,0,533,6,5,0,0,1,1,0,0,3,1,WESTERN,BUTERE/MUMIAS,KHWISERO,KISA SOUTH,KHWISERO,0.13,34.6
34.72,0.13,15684,KIGULIENYI PRY SCH,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,38.3,31.9,19.2,12,7,13,2,0,0,0,383,5,4,0,0,0,1,0,0,1,1,WESTERN,VIHIGA,SABATIA,WEST MARAGOLI,SABATIA,0.13,34.72
34.11,0.36,15685,ST PAUL'S BUDERIE PRI,PRIMARY SCHOOL,PRIVATE,NGO/CBO,MIXED,DAY ONLY,ORDINARY,19.3,19.3,38.5,4,1,1,1,0,0,0,77,0,0,0,0,0,0,2,2,1,1,WESTERN,BUSIA,MATAYOS,BUKHAYO WEST,NAMBALE,0.36,34.11
34.58,0.14,15686,EMAKUCHE PRI,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,52.2,47,67.1,10,4,3,1,0,0,0,470,6,2,0,0,1,0,0,0,1,2,WESTERN,BUTERE/MUMIAS,KHWISERO,KISA SOUTH,KHWISERO,0.14,34.58
34.72,0.13,15687,FRIENDS HAKEDOHI PRY SCH,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,35.4,32.2,22.1,11,6,10,4,0,0,0,354,4,4,0,0,1,1,0,0,1,1,WESTERN,VIHIGA,SABATIA,WEST MARAGOLI,SABATIA,0.13,34.72
34.12,0.4,15688,BUDOKOMI PRI,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,69.3,69.3,69.3,12,6,6,2,0,0,0,831,10,2,0,0,0,0,0,0,2,0,WESTERN,BUSIA,MATAYOS,BUKHAYO WEST,NAMBALE,0.4,34.12
34.72,0.13,15689,FRIENDS KEGONDI PRY SCH,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,38.7,38.7,29.6,13,7,10,3,0,0,0,503,9,4,0,0,0,0,0,0,1,1,WESTERN,VIHIGA,SABATIA,WEST MARAGOLI,SABATIA,0.13,34.72
34.6,0.15,15690,MUSHIKONGOLO PRI,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,35.8,49.3,39.4,8,4,6,2,0,0,0,394,3,6,0,0,2,0,0,0,1,1,WESTERN,BUTERE/MUMIAS,KHWISERO,KISA SOUTH,KHWISERO,0.15,34.6
34.12,0.41,15691,BURINGALA PRI,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,34.9,52.4,52.4,8,4,4,2,0,0,0,419,6,4,0,0,2,0,0,0,1,0,WESTERN,BUSIA,MATAYOS,BUKHAYO WEST,NAMBALE,0.41,34.12
34.62,0.14,15692,EMALINDI PRI SCH,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,I,ORDINARY,51.4,48.4,41.1,17,8,12,2,0,0,0,822,3,12,0,0,0,1,0,0,2,2,WESTERN,BUTERE/MUMIAS,KHWISERO,KISA SOUTH,KHWISERO,0.14,34.62
34.71,0.13,15693,REV. MOSES AKARANGA EGALONI PRY SCH,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,29.3,23.4,23.4,5,2,3,1,0,0,0,117,0,0,0,0,3,1,0,0,0,0,WESTERN,VIHIGA,SABATIA,WEST MARAGOLI,SABATIA,0.13,34.71
34.7,0.14,15694,KALUNI PRY SCH,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,38.9,38.9,29.2,9,8,4,2,0,0,0,350,3,3,0,0,1,2,0,0,1,1,WESTERN,KAKAMEGA,IKOLOMANI,SHIKUMU,IKOLOMANI,0.14,34.7
